,pl_orbper,pl_rade,pl_tranmid,pl_trandep,st_teff,st_rad,st_logg,ra,dec,target
8582,2.521245368,56.59,2454965.8563627,418380.0,5605.0,0.854,4.486,286.42569,50.417019,0
8583,2.52122764,0.91,2454965.86973,127.3,5546.0,0.81,4.575,286.42703,50.4063,0
8584,2.5212708,0.81,2454965.8596,163.3,5110.0,0.637,4.674,286.43137,50.40144,0
8585,8.202869679,110.46,2454971.5109062,345940.0,6060.0,1.643,4.059,291.94641,50.48196,0
8586,11.8436119,1.41,2454971.0037,199.3,6077.0,0.999,4.471,293.49564,50.48064,1
8587,3.442714533,47.02,2454965.3912568,60039.0,5819.0,0.861,4.501,296.37537,50.486801,0
8588,475.91706,28.22,2455421.8926,967.3,5334.0,1.004,4.372,297.75311,41.675991,0
8589,0.858285844,0.9,2454964.87904,43.4,5945.0,1.346,4.196,293.02036,42.508835,0
8590,4.88446644,0.84,2454968.24744,221.0,3883.0,0.517,4.725,287.85773,48.774109,1
8591,8.9772888,1.79,2454966.44748,97.5,5597.0,1.699,3.963,297.91687,46.96513,1
8592,3.03359398,1.55,2454966.08355,95.6,5557.0,1.616,4.037,297.79691,39.921371,1
8593,21.9139549,10.39,2454981.52144,584.4,3638.0,0.42,4.844,291.285,40.730049,1
8594,6.238315363,0.7,2454967.3054225,82.9,4914.0,0.724,4.61,286.63553,39.488621,0
8595,9.3888216,20.91,2454967.42144,192.7,5846.0,1.24,4.278,295.8287,43.425491,1
8596,2.115510941,191.42,2454964.99122,415160.0,7563.0,2.638,3.883,287.17612,38.433498,0
8597,1.015044104,1.98,2454964.56407,158.2,5910.0,1.124,4.318,287.77148,38.498711,0
8598,3.711013336,55.69,2454965.4882537,24989.0,6338.0,1.247,4.256,289.6983,38.406609,0
8599,2.97606298,5.65,2454965.9637,72.2,5321.0,6.669,3.158,290.14084,38.493809,0
8600,2.97586085,0.85,2454966.0352,105.9,5481.0,0.835,4.508,290.16632,38.47644,0
8601,14.658013949,121.59,2454973.4756141,129640.0,5146.0,1.626,3.986,290.73944,38.414139,0
8602,18.839487435,45.2,2454970.7695421,182720.0,6208.0,1.024,4.454,291.38623,38.49147,0
8603,0.555973803,1.9,2454964.96589,75.3,5445.0,2.117,3.776,291.86655,38.409081,0
8604,4.426344495,78.3,2454967.231165,276140.0,6228.0,1.226,4.277,292.83759,39.93383,0
8605,0.957823876,110.91,2454965.414882,104690.0,5908.0,2.033,3.865,293.12161,39.975552,0
8606,5.024768971,42.15,2454966.120142,53046.0,6322.0,0.989,4.444,293.27969,39.91576,0
8607,30.960216668,62.08,2454989.1595497,340410.0,5291.0,0.926,4.423,295.07663,39.958279,0
8608,2.470283788,157.82,2454966.251861,193830.0,7823.0,2.675,3.885,295.83401,39.952259,0
8609,1.23516416,0.92,2454964.99301,64.6,6249.0,1.076,4.428,295.86285,39.96711,0
8610,1.23513471,0.7,2454965.0046,42.8,5930.0,0.997,4.436,295.8656,39.9641,0
8611,0.8903331,20.96,2454964.5337,134.1,4981.0,18.374,2.437,298.16129,39.90097,0
8612,20.000242814,21.57,2454967.82021,13138.0,6373.0,1.047,4.438,298.21509,39.955101,0
8613,10.217121652,81.1,2454970.2457336,205220.0,5931.0,1.349,4.196,299.18677,40.501701,0
8614,0.618060842,0.51,2454964.63533,25.1,5339.0,0.793,4.503,299.9982,40.550259,0
8615,0.759764419,138.54,2454964.7927631,393270.0,5807.0,1.909,3.93,290.5174,40.696812,0
8616,2.6528082,1.17,2454964.5439,153.1,5778.0,0.935,4.48,294.28778,40.692741,1
8617,21.539269242,53.0,2454977.1542761,143750.0,6136.0,0.933,4.487,295.29691,40.66156,0
8618,5.270733213,37.93,2454969.180853,293640.0,4348.0,0.678,4.601,295.75555,40.61866,0
8619,2.43135542,1.07,2454966.92077,123.6,6231.0,0.955,4.488,296.4718,40.681622,1
8620,12.4232158,1.3,2454974.7294,261.5,5497.0,0.809,4.577,297.54706,40.615742,0
8621,4.3206933,1.66,2454964.8905,147.9,6225.0,1.031,4.45,293.26874,41.850719,0
8622,16.486796364,46.92,2454964.6041706,48943.0,6020.0,2.097,3.86,293.72183,41.873131,0
8623,5.7768734,3.13,2454966.6218,71.0,5473.0,2.162,3.796,293.87863,41.856449,0
8624,20.148807707,68.52,2454968.8116283,526950.0,5547.0,0.918,4.447,293.94894,41.855461,0
8625,0.687772143,46.27,2454964.8669185,40368.0,5885.0,0.933,4.413,294.88351,41.800461,0
8626,0.843651274,39.98,2454964.9478111,305450.0,5220.0,0.695,4.578,297.67096,41.87598,0
8627,1.142946648,43.5,2454964.9010021,412550.0,5058.0,0.608,4.651,298.25748,41.850639,0
8628,7.217010987,89.71,2454968.4523674,78714.0,6047.0,1.211,4.246,298.69,41.880852,0
8629,9.72869627,42.47,2454973.71571,252.2,6881.0,1.351,4.301,291.1738,44.449799,0
8630,0.566791802,0.66,2454964.81736,49.3,5691.0,0.887,4.544,291.76828,42.757221,0
8631,2.245738777,99.05,2454966.2650421,483490.0,6508.0,1.312,4.287,292.68881,42.748001,0
8632,2.24572117,0.74,2454966.26678,48.2,6158.0,1.026,4.455,292.69376,42.760899,0
8633,0.566801906,0.55,2454964.79673,89.7,4208.0,0.583,4.662,292.95926,42.799252,0
8634,2.316171991,49.53,2454965.311636,251480.0,5932.0,0.795,4.58,295.37515,42.75378,0
8635,12.54474243,1.88,2454972.58304,263.1,5767.0,1.159,4.316,296.39548,42.78014,1
8636,0.56680208,,2454964.7056,,,,,291.45313,42.851227,0
8637,0.566810701,1.49,2454964.80761,200.0,5593.0,0.752,4.584,291.52869,42.86697,0
8638,0.566813319,23.19,2454964.78768,129.1,6108.0,1.03,4.466,291.53311,42.83847,0
8639,28.787257509,91.26,2454970.094192,49618.0,5154.0,3.981,3.461,281.08948,44.057941,0
8640,0.835315046,30.54,2454964.9570817,16876.0,5009.0,0.69,4.584,282.75241,44.048721,0
8641,3.07551068,0.84,2454967.46857,46.1,5763.0,1.242,4.256,282.84103,44.049728,1
8642,26.0164225,61.04,2454990.37769,41109.0,6287.0,1.28,4.231,287.90555,44.01086,0
8643,6.29340543,1.08,2454966.8686,96.4,6214.0,1.076,4.442,287.94165,44.008018,1
8644,593.19521,1.63,2455166.732,227.3,6103.0,1.03,4.391,289.18787,44.006969,0
8645,0.706430188,0.41,2454965.14208,50.8,5037.0,0.568,4.689,290.59076,44.002579,0
8646,7.7021729,0.85,2454971.4181,74.6,5618.0,0.969,4.449,292.46378,44.090111,1
8647,0.78430061,1.14,2454965.23164,254.7,5176.0,0.681,4.589,291.93063,45.22002,0
8648,2.665875491,67.43,2454964.6187983,161390.0,6234.0,1.159,4.351,291.99097,45.234138,0
8649,2.6658312,0.99,2454964.627,40.8,6276.0,1.353,4.17,292.01447,45.205681,0
8650,1.5765874,15.68,2454965.4469,29.2,6742.0,3.138,3.688,293.5484,45.201,0
8651,2.52557582,0.62,2454966.06586,35.4,5821.0,1.036,4.421,293.96545,45.273571,1
8652,8.2927558,1.01,2454968.0352,103.3,6146.0,0.943,4.497,294.00787,45.232689,1
8653,22.786522,1.45,2454986.2108,228.3,6146.0,0.943,4.497,294.00787,45.232689,1
8654,28.027891356,31.3,2454991.348172,243230.0,5231.0,0.544,4.721,297.89444,45.211189,0
8655,2.028512246,50.28,2454965.8392103,121560.0,6105.0,1.025,4.412,287.12561,46.733479,0
8656,1.33256167,0.63,2454965.0567,59.5,4895.0,0.828,4.502,295.14157,46.793919,0
8657,1.332567821,0.96,2454965.0544581,31.0,6600.0,1.681,4.047,295.15475,46.736641,0
8658,1.332545609,28.37,2454965.05755,278.2,5154.0,16.486,2.435,295.2258,46.76009,0
8659,1.33256256,16.03,2454965.04698,174.9,4601.0,12.581,2.321,295.23248,46.77037,0
8660,1.33258981,0.67,2454965.0364,78.4,5309.0,0.763,4.595,295.28519,46.770592,0
8661,1.33258375,0.84,2454965.0362,60.9,6108.0,0.997,4.471,295.28735,46.75449,0
8662,8.9648813,28.97,2454970.5394,454.5,6543.0,1.159,4.382,297.52359,46.703129,0
8663,1.284241817,1.18,2454965.65223,166.5,5849.0,0.919,4.517,298.17337,48.173611,1
8664,2.161583501,29.61,2454964.80273,50163.0,5888.0,1.219,4.167,298.29193,48.194691,0
8665,8.7396758,3.29,2454969.5829,1431.0,4406.0,0.628,4.643,282.37042,48.259289,2
8666,0.535493486,1.42,2454964.743209,54.0,6328.0,1.864,4.035,285.25192,48.286209,0
8667,15.9474242,1.21,2454970.49449,191.7,5472.0,0.877,4.44,285.35583,48.221489,1
8668,24.261683827,58.48,2454980.2417593,192280.0,6151.0,0.983,4.473,285.97827,48.225491,0
8669,32.532521502,24.35,2454980.077355,83468.0,5845.0,0.838,4.558,290.13074,48.289848,0
8670,50.0122,1.2,2454986.9789,210.4,5357.0,0.814,4.503,294.20096,48.250061,1
8671,4.627775175,32.62,2454966.390355,5675.1,5845.0,0.874,4.541,296.44351,50.420441,0
8672,28.7850347,2.5,2454978.7978,102.9,6581.0,2.42,3.824,286.68756,50.531506,0
8673,5.60682001,1.04,2454968.84466,150.7,5699.0,0.853,4.553,294.73962,50.566841,1
8674,6.096030635,406.97,2454968.0308909,901660.0,7598.0,2.692,3.867,296.10501,50.518471,0
8675,31.953038766,47.96,2454975.708054,17703.0,5524.0,2.734,3.693,288.4874,50.675461,0
8676,5.9371708,1.17,2454968.957,157.1,5475.0,0.923,4.426,289.14355,50.611198,0
8677,0.577844035,18.93,2454964.88058,320.4,5693.0,0.816,4.57,290.65952,50.711342,0
8678,2.630090609,83.5,2454965.224741,516930.0,6315.0,1.108,4.292,294.38742,50.717098,0
8679,43.204596783,43.15,2454979.5978539,202490.0,6003.0,0.932,4.507,296.27115,50.886292,0
8680,1.75147897,1.8,2454965.47509,76.7,6823.0,2.037,4.04,297.79224,46.935829,0
8681,3.17796408,0.74,2454967.35285,47.7,5061.0,0.841,4.488,297.63519,41.641869,1
8682,3.66520844,0.82,2454964.50911,65.8,5579.0,1.029,4.389,295.50269,43.232792,1
8683,3.05293416,1.18,2454965.96692,227.5,5311.0,0.788,4.588,287.53503,49.801659,1
8684,12.834857,1.73,2454967.37229,293.9,5492.0,1.016,4.389,291.81302,38.088181,1
8685,36.2530992,1.43,2454975.0377,152.1,6002.0,1.081,4.424,296.70724,41.203651,1
8686,4.02321842,0.48,2454968.41629,81.2,4671.0,0.528,4.721,298.41931,45.071442,1
8687,7.5017934,1.32,2454971.8271,134.8,6321.0,1.125,4.417,293.12738,42.320099,1
8688,0.912351255,1.46,2454964.59612,111.8,5481.0,1.036,4.369,291.55051,50.825611,1
8689,12.4701111,2.06,2454976.7236,89.7,5623.0,2.109,3.877,292.52939,38.489079,1
